A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,400,550,3,0.706,0.6764871637,0.777,0.1229280752,0.481998501,0.3387978339999999,0.233248608,0.3347578539999999
50,400,550,3,0.621,0.6499491623,0.829,0.1217615182,0.489779827,0.3433826379999999,0.235955701,0.338807816
50,400,550,4,4.0,1.111176474,0.0,0.1686399991,0.343292264,0.305424992,0.25778341,0.279421774
50,400,550,4,2.25,1.06719652,0.001,0.1549545601,0.362615344,0.293433091,0.247348729,0.287154494
50,400,550,4,1.565,1.01372431,0.002,0.1494388762,0.379459295,0.2842324989999999,0.2410083149999999,0.295882947
50,400,550,4,1.2,1.000488565,0.001,0.1454138086,0.384732562,0.275756193,0.241724367,0.297557161
50,400,550,4,0.973,0.986330987,0.004,0.1411648048999999,0.392111008,0.273173039,0.235814225,0.303436955
50,400,550,4,0.818,0.946966445,0.004,0.1382219339999999,0.401624625,0.271055013,0.235107138,0.30854095
50,400,550,4,0.706,0.6763934345,0.767,0.1231508808,0.4805090709999999,0.340073687,0.236170252,0.332098288
50,400,550,4,0.621,0.6700048015,0.812,0.1230266622999999,0.4841366369999999,0.343022515,0.23655278,0.333621716
50,400,550,5,4.0,1.121366101,0.0,0.1674810119999999,0.343358343,0.307043863,0.257290485,0.281654719
50,400,550,5,2.25,1.070491623,0.001,0.1568082964,0.36262053,0.292831805,0.2482064249999999,0.289217296
50,400,550,5,1.565,1.020369887,0.002,0.1520085755999999,0.376218709,0.289297438,0.2444360899999999,0.293454017
50,400,550,5,1.2,0.989107055,0.002,0.1462578421,0.3873628,0.282480714,0.239172806,0.299365983
50,400,550,5,0.973,0.970625676,0.005,0.1414912079,0.395208336,0.271527825,0.237314559,0.305473343
50,400,550,5,0.818,0.6886350762999999,0.7110000000000001,0.1251224407999999,0.47497464,0.334088479,0.232895204,0.328552562
50,400,550,5,0.706,0.6752296609,0.8029999999999999,0.1211265948999999,0.482703176,0.338482506,0.233723137,0.33124232
50,400,550,5,0.621,0.6628061255,0.846,0.1209217725999999,0.487927926,0.342314595,0.235299915,0.335332794
50,400,550,6,4.0,1.107791078,0.0,0.1657915212,0.346263179,0.30297726,0.257476124,0.2813302689999999
50,400,550,6,2.25,1.060184529,0.0,0.1572063981999999,0.3626360489999999,0.29545466,0.246880122,0.287408022
50,400,550,6,1.565,1.018563023,0.003,0.1498919594,0.3785269,0.282920875,0.24232375,0.295192408
50,400,550,6,1.2,1.0091652720000002,0.002,0.1460195497,0.382740706,0.281758561,0.238522138,0.2975844689999999
50,400,550,6,0.973,0.971164032,0.005,0.1412218757,0.393299022,0.275238365,0.234554886,0.303194566
50,400,550,6,0.818,0.970146619,0.003,0.1379570757,0.3976471849999999,0.269933257,0.23647443,0.3061093439999999
50,400,550,6,0.706,0.6260748106,0.679,0.1312000234999999,0.484787778,0.3400806,0.230704398,0.343295576
50,400,550,6,0.621,0.6286107377,0.718,0.1296929895,0.4882345779999999,0.34245556,0.23058952,0.3447108989999999
50,400,550,7,4.0,1.102862085,0.0,0.1689649102,0.346423256,0.303865564,0.2568720989999999,0.282186996
50,400,550,7,2.25,1.058401729,0.0,0.1552112490999999,0.364664265,0.290403953,0.244078158,0.290512159
50,400,550,7,1.565,1.030023196,0.001,0.1496443209,0.374559419,0.288539309,0.24257704,0.2950426559999999
50,400,550,7,1.2,1.010536021,0.001,0.1462845863,0.38161379,0.283507187,0.239250465,0.297392007
50,400,550,7,0.973,0.973138949,0.001,0.1413125981,0.392802559,0.2750953989999999,0.234892333,0.30108059
50,400,550,7,0.818,0.7149116259,0.708,0.1224035144,0.4718239109999999,0.3345348239999999,0.234591357,0.326754176
50,400,550,7,0.706,0.6962117823999999,0.78,0.1202002965,0.477935945,0.3370001120000001,0.233862697,0.3284568829999999
